﻿Konu,Soru,Gerçek_Cevap,ChatGPT_Cevap    
Linux Konfigürasyon,/etc/services dosyasında ne bulunur?,Bilgisayar tarafından bilinen servislerin isimleri ve bu servislerin hangi portları kullandığı bilgisi tutulur.,"/etc/services dosyası, ağ hizmetlerinin port numaralarını ve protokol türlerini eşleyen bir yapılandırma dosyasıdır. Bu dosya, belirli bir hizmetin hangi port numarası ve protokol ile çalıştığını belirtir."
Linux Konfigürasyon,rsyslog.d programı ne işe yarar?,Linux'taki hata mesajları veya çekirdek mesajları gibi çeşitli olayların kayıtlarını (loglarını) tutar.,"`rsyslog.d` dizini, Rsyslog yapılandırma dosyalarının modüler bir şekilde saklandığı yerdir. Bu dizin, farklı yapılandırma dosyalarını içererek Rsyslog'un esnek ve yönetilebilir bir şekilde yapılandırılmasını sağlar."
Linux Konfigürasyon,/etc/inittab dosyasının görevi nedir?,"Sistem açılışında ilk çalışan program olan init, hangi programların çalıştırılacağını bu dosyadan öğrenir.","/etc/inittab dosyası, Unix ve Unix benzeri işletim sistemlerinde init sürecinin yapılandırmasını belirler ve sistemin hangi çalıştırma seviyesinde (runlevel) başlatılacağını tanımlar. Bu dosya, init işleminin hangi betikleri ve servisleri çalıştıracağını ve sistemin başlangıç ve kapanış süreçlerini nasıl yöneteceğini belirtir."
Bilgi Toplama,Pasif bilgi toplama nedir?,"Bilgi alınmak istenen ağ veya sistemle doğrudan bir etkileşime girilmeden, internet kaynaklarından veri elde edilmesidir.","Pasif bilgi toplama, hedef sistem veya ağla doğrudan etkileşime girmeden, genellikle açık kaynaklar ve üçüncü taraf hizmetler aracılığıyla bilgi edinme sürecidir. Bu yöntem, hedefin farkında olmadan bilgi toplanmasını sağlar ve genellikle WHOIS sorguları, sosyal medya analizleri ve çevrimiçi veri tabanları gibi kaynakları kullanır."
Bilgi Toplama,Aktif bilgi toplama ile pasif bilgi toplama arasındaki temel fark nedir?,"Pasif yöntemde sistemle doğrudan etkileşim olmazken, aktif yöntemde hedef sistemle doğrudan iletişime geçilir.","Aktif bilgi toplama, hedef sistemle doğrudan etkileşime girerek bilgi elde etme sürecidir ve genellikle hedef sistemde iz bırakır. Pasif bilgi toplama ise hedef sistemle doğrudan etkileşime girmeden, genellikle üçüncü taraf kaynaklardan bilgi toplayarak gerçekleştirilir ve iz bırakmaz."
Bilgi Toplama,ICANN kuruluşunun görevi nedir?,"İnternet adresi alanı tahsisi, protokol ataması ve ülke kodu alan adı yönetiminden sorumlu kâr amacı gütmeyen kuruluştur.","ICANN (Internet Corporation for Assigned Names and Numbers), internetin küresel DNS (Domain Name System) yönetimini, IP adres tahsisini ve kök sunucu sisteminin koordinasyonunu sağlayarak internetin istikrarlı ve güvenli çalışmasını temin eder."
Bilgi Toplama,Whois sorgusu ne için kullanılır?,Alan adı sahibi kişiye ait iletişim bilgilerini ve alan adı ile ilgili teknik bilgileri öğrenmek için kullanılır.,"Whois sorgusu, bir alan adının veya IP adresinin kayıt bilgilerini, sahibini, kayıt tarihini ve iletişim bilgilerini öğrenmek için kullanılır. Bu, alan adı yönetimi ve siber güvenlik araştırmaları için önemlidir."
Bilgi Toplama,Whois Gizleme servisi ne işe yarar?,Alan adı sahibine ait kişisel bilgilerin Whois sorgularında gizlenmesini ve başkalarıyla paylaşılmamasını sağlar.,"Whois Gizleme servisi, bir alan adının kayıt bilgilerini gizleyerek, alan adı sahibinin kişisel bilgilerini (isim, adres, telefon numarası gibi) halka açık Whois veritabanından korur. Bu, alan adı sahibinin gizliliğini artırır ve spam veya kötü niyetli saldırılara karşı koruma sağlar."
Bilgi Toplama,RIPE NCC nedir?,Avrupa ve Ortadoğu bölgesine IP adresi dağıtımından sorumlu olan kuruluştur.,"RIPE NCC (Réseaux IP Européens Network Coordination Centre), Avrupa, Orta Doğu ve Orta Asya bölgelerinde internet kaynaklarının (IP adresleri ve AS numaraları gibi) dağıtımını ve yönetimini yapan bölgesel internet kayıt kuruluşudur. Ayrıca, ağ operatörleri ve diğer paydaşlar için teknik koordinasyon ve destek hizmetleri sağlar."
Bilgi Toplama,Archive.org (Wayback Machine) ne amaçla kullanılır?,Web sitelerinin geçmiş tarihlerdeki görüntülerini incelemek ve yayından kaldırılan sayfaları görmek için kullanılır.,"Archive.org (Wayback Machine), web sitelerinin geçmişteki sürümlerini arşivleyerek kullanıcıların bu sitelerin önceki halleri üzerinde araştırma yapmasına olanak tanır. Bu, web içeriğinin zaman içindeki değişikliklerini incelemek ve kaybolmuş veya silinmiş sayfalara erişim sağlamak için kullanılır."
Bilgi Toplama,Shodan arama motorunun temel işlevi nedir?,"İnternete bağlı bilgisayarları, yönlendiricileri, web kameralarını ve IoT cihazlarını tarayıp bulan bir arama motorudur.","Shodan, internete bağlı cihazları ve bu cihazların sunduğu hizmetleri tarayarak, açık portlar, hizmet türleri ve yazılım versiyonları gibi bilgileri indeksleyen bir arama motorudur. Bu sayede, güvenlik araştırmacıları ve sistem yöneticileri, potansiyel güvenlik açıklarını tespit edebilir ve izleyebilir."
Bilgi Toplama,Shodan üzerinde 'city' filtresi nasıl çalışır?,Aramayı belirli bir şehirdeki cihazlarla sınırlandırmak için kullanılır.,"Shodan üzerindeki 'city' filtresi, cihazların bulunduğu şehir bazında arama yapmanıza olanak tanır ve IP adreslerinin coğrafi konum verilerine dayanarak sonuçları filtreler. Bu filtre, cihazların konum bilgilerini belirlemek için genellikle IP adresi tabanlı coğrafi konum veritabanlarını kullanır."
Bilgi Toplama,Shodan'da varsayılan parola kullanan cihazları bulmak için hangi arama terimi kullanılır?,Arama alanına 'default password' yazılarak varsayılan parolayı kullanan sistemler tespit edilebilir.,"Shodan'da varsayılan parola kullanan cihazları bulmak için ""default password"" veya ""default login"" gibi arama terimleri kullanılabilir. Ayrıca, belirli cihaz türleri için ""product"" filtresiyle birlikte bu terimler kullanılabilir."
Bilgi Toplama,Google Hack Veritabanı (Google Dorks) nedir?,"Google arama motorunun indeksleme yeteneğini kullanarak, özel sorgularla hassas bilgileri ve güvenlik açıklarını bulmayı sağlayan veritabanıdır.","Google Hack Veritabanı, arama motoru Google'ı kullanarak belirli bilgi türlerini bulmak için kullanılan özel arama sorgularının bir koleksiyonudur. Bu sorgular, genellikle yanlış yapılandırılmış sistemler veya yanlışlıkla internete sızdırılmış hassas bilgileri tespit etmek amacıyla kullanılır."
Bilgi Toplama,Google aramalarında 'filetype' parametresi ne işe yarar?,"Belirli bir dosya türüne (örneğin pdf, doc, bak) göre arama yapılmasını sağlar.","'filetype' parametresi, Google aramalarında belirli bir dosya türünü hedefleyerek arama yapmayı sağlar. Örneğin, ""filetype:pdf"" kullanarak sadece PDF dosyalarını arayabilirsiniz."
Bilgi Toplama,Nmap (Network Mapper) aracı ne işe yarar?,"Bir ağdaki cihazları, açık portları, işletim sistemlerini ve servis versiyonlarını tespit etmeye yarayan ağ haritalama aracıdır.","Nmap, ağ keşfi ve güvenlik denetimi için kullanılan bir araçtır; açık portları, çalışan servisleri ve potansiyel güvenlik açıklarını tespit eder."
Bilgi Toplama,Wireshark yazılımı ne amaçla kullanılır?,Ağ ortamındaki paketlerin yakalanmasını ve detaylı analiz edilmesini sağlayan popüler bir protokol analiz aracıdır.,"Wireshark, ağ trafiğini analiz etmek ve paketleri incelemek amacıyla kullanılan bir ağ protokolü analizörüdür. Ağ sorunlarını teşhis etmek, güvenlik incelemeleri yapmak ve ağ protokollerini öğrenmek için kullanılır."
Temel Güvenlik,Yeni kurulan bir bilgisayara ortalama ne kadar sürede siber saldırı gerçekleşir?,Güvenlik önlemleri alınmadan internete bağlanan yeni bir bilgisayara ortalama yedi dakika içinde saldırı gerçekleşmektedir.,"Yeni kurulan bir bilgisayara ortalama 5 ila 10 dakika içinde siber saldırı girişimi gerçekleşebilir. Bu süre, internete bağlı cihazların otomatik tarama ve saldırı araçları tarafından hedef alınması nedeniyle oldukça kısadır."
Temel Güvenlik,Fiziksel güvenlikte Kesintisiz Güç Kaynağı (UPS) neden önemlidir?,Bilgisayarı aşırı elektrik akımından korumak ve elektrik kesintisi kaynaklı veri kayıplarını önlemek için önemlidir.,"Kesintisiz Güç Kaynağı (UPS), kritik sistemlerin elektrik kesintileri sırasında çalışmaya devam etmesini sağlayarak veri kaybını önler ve sistemlerin güvenli bir şekilde kapatılmasına olanak tanır. Ayrıca, ani voltaj dalgalanmalarına karşı koruma sağlayarak donanımın zarar görmesini engeller."
Temel Güvenlik,Veri yedekleri nerede saklanmalıdır?,"Yangın veya su baskını gibi risklere karşı, orijinal verinin bulunduğu yerden farklı ve uzak bir fiziksel konumda saklanmalıdır.","Veri yedekleri, fiziksel olarak ayrı bir konumda ve tercihen coğrafi olarak uzak bir bölgede saklanmalıdır. Ayrıca, bulut tabanlı yedekleme hizmetleri kullanılarak çevrimdışı ve çevrimiçi erişim kombinasyonu sağlanabilir."
Temel Güvenlik,RAID sistemleri veri güvenliğine nasıl katkı sağlar?,"Verinin kopyasını aynı anda birden fazla sürücüye yazarak, disk arızası durumunda veri kaybını önler.","RAID sistemleri, verileri birden fazla disk üzerinde dağıtarak veri kaybına karşı koruma sağlar ve hata toleransı sunar. Ayrıca, belirli RAID seviyeleri veri yedeklemesi ve hata düzeltme mekanizmaları ile veri bütünlüğünü artırır."
Parola Güvenliği,NIST standartlarına göre güvenli bir parola en az kaç karakter olmalıdır?,Parolalar en az sekiz alfa numerik karakterden oluşmalıdır.,NIST standartlarına göre güvenli bir parola en az 8 karakter olmalıdır.
Parola Güvenliği,Güçlü bir parola oluşturmak için kullanılan 'cümle yöntemi' nasıl uygulanır?,Akılda kalıcı bir cümlenin kelimelerinin baş harfleri ve özel karakterler birleştirilerek karmaşık bir parola oluşturulur.,"Cümle yöntemi, bir cümledeki her kelimenin baş harfini veya belirli harflerini alarak ve bunları sayılar veya özel karakterlerle birleştirerek güçlü bir parola oluşturma tekniğidir. Örneğin, ""Kedim her sabah 2 fincan kahve içer"" cümlesi ""KhS2fki"" şeklinde bir parolaya dönüştürülebilir."
Parola Güvenliği,Gizli soru (Güvenlik Sorusu) neden zayıf bir yöntemdir?,Cevaplar genellikle sosyal medya veya internet araştırmasıyla saldırganlar tarafından kolayca bulunabilir.,"Gizli sorular, genellikle tahmin edilebilir veya sosyal mühendislik saldırılarıyla kolayca elde edilebilir cevaplar içerdiğinden zayıf bir yöntemdir. Ayrıca, kullanıcılar bu sorulara verdikleri cevapları unutabilir veya yanlış hatırlayabilir, bu da erişim sorunlarına yol açabilir."
Parola Güvenliği,İki Faktörlü Kimlik Doğrulama (2FA) nedir?,Sisteme erişmek için bildiğiniz bir şey (parola) ve sahip olduğunuz bir şey (SMS kodu vb.) gibi iki farklı kanıt gerektiren güvenlik yöntemidir.,"İki Faktörlü Kimlik Doğrulama (2FA), bir kullanıcının kimliğini doğrulamak için iki farklı doğrulama faktörünün kullanıldığı bir güvenlik sürecidir. Genellikle bir şey bilme (şifre) ve bir şeye sahip olma (telefon, donanım anahtarı) gibi iki bağımsız faktör içerir."
Biyometrik Güvenlik,Biyometrik kimlik doğrulama neye dayanır?,"Bireyin parmak izi, iris, retina veya ses gibi eşsiz biyolojik özelliklerine dayanır.","Biyometrik kimlik doğrulama, bireylerin fiziksel veya davranışsal özelliklerine dayanır, örneğin parmak izi, iris taraması veya ses tanıma gibi benzersiz biyolojik veriler kullanılır. Bu yöntem, kimlik doğrulama süreçlerinde yüksek güvenlik ve doğruluk sağlar."
Biyometrik Güvenlik,Parmak izi okuyucuların güvenlik riski nedir?,Parmak izi görüntüleri kopyalanabilir veya bazı parmak izi modelleri birbirine çok benzediği için taklit edilebilir (False Acceptance).,"Parmak izi okuyucuların güvenlik riski, biyometrik verilerin çalınması veya kopyalanması durumunda geri alınamaz olması ve sahte parmak izleriyle sistemlerin kandırılabilmesidir. Ayrıca, parmak izi verilerinin merkezi bir veritabanında saklanması durumunda bu veritabanının hedef alınarak ele geçirilmesi riski de bulunmaktadır."
Biyometrik Güvenlik,İris taraması nasıl çalışır?,Göz bebeğinin etrafındaki renkli halka olan irisin benzersiz desenini analiz ederek kimlik doğrulaması yapar.,"İris taraması, bir kişinin gözündeki iris desenini yüksek çözünürlüklü bir kamera ile tarayarak benzersiz biyometrik veriler elde eder ve bu verileri dijital bir şablona dönüştürerek kimlik doğrulama için kullanır. İrisin karmaşık ve benzersiz yapısı, taramanın yüksek doğruluk ve güvenilirlik sağlamasına olanak tanır."
Biyometrik Güvenlik,Biyometrik sahtekârlık (Spoofing) nedir?,Sahte parmak izi veya iris gibi kopyalanmış biyometrik özellikler kullanarak sistemi kandırma girişimidir.,"Biyometrik sahtekârlık (spoofing), bir biyometrik sistemin kimlik doğrulama mekanizmasını kandırmak amacıyla sahte biyometrik verilerin (örneğin, sahte parmak izi, yüz maskesi) kullanılmasıdır. Bu tür saldırılar, biyometrik sistemlerin güvenliğini tehlikeye atarak yetkisiz erişim sağlama riskini artırır."
Parola Kırma,Sözlük saldırısı (Dictionary Attack) nedir?,Sık kullanılan kelimelerden ve parolalardan oluşan bir listenin (sözlük) sırayla denenerek parolanın bulunmaya çalışılmasıdır.,"Sözlük saldırısı, bir saldırganın önceden tanımlanmış bir kelime listesi veya sözlük kullanarak bir sistemin parolasını tahmin etmeye çalıştığı bir brute force saldırı türüdür. Bu saldırı, özellikle zayıf veya yaygın parolalar kullanıldığında etkilidir."
Parola Kırma,Rainbow Table (Gökkuşağı Tablosu) saldırısı neye dayanır?,"Önceden hesaplanmış hash değerlerinin bulunduğu tabloları kullanarak, ele geçirilen hash'in karşılığı olan parolayı bulmaya dayanır.","Rainbow Table saldırısı, önceden hesaplanmış hash değerleri ile şifrelerin hızlı bir şekilde kırılmasına dayanır. Bu tablolar, hash fonksiyonları kullanılarak oluşturulmuş geniş bir şifre ve hash eşleştirmesi içerir, böylece saldırganlar bir hash'i hızlıca karşılık gelen şifreye dönüştürebilir."
Parola Kırma,Brute Force (Kaba Kuvvet) saldırısı nedir?,Olası tüm karakter kombinasyonlarının sırayla denenerek parolanın bulunmaya çalışılmasıdır.,"Brute Force saldırısı, bir saldırganın bir sistemin şifrelerini veya anahtarlarını deneme yanılma yöntemiyle sistematik olarak tahmin etmeye çalıştığı bir saldırı türüdür. Bu saldırı, tüm olası kombinasyonları deneyerek doğru olanı bulmayı hedefler ve genellikle zayıf veya kısa şifreler üzerinde etkilidir."
Güvenlik Zafiyetleri,CVE (Common Vulnerabilities and Exposures) nedir?,Bilinen bilgi güvenliği açıkları ve riskleri için ortak bir isimlendirme ve referans sistemidir.,"CVE (Common Vulnerabilities and Exposures), bilgi güvenliği açıklarını ve zafiyetlerini tanımlamak için kullanılan standart bir tanımlama sistemidir. Her CVE girdisi, belirli bir güvenlik açığını benzersiz bir şekilde tanımlar ve bu açık hakkında temel bilgiler sağlar."
Güvenlik Zafiyetleri,CVE isimlendirmesi (örneğin CVE-2019-3568) neleri içerir?,Açığın tespit edildiği yılı ve o yıl içindeki benzersiz sıra numarasını içerir.,"CVE isimlendirmesi, ""CVE"" ön eki, ardından dört basamaklı bir yıl ve o yıl içinde atanmış olan benzersiz bir kimlik numarasından oluşur. Örneğin, CVE-2019-3568, 2019 yılında atanmış 3568 numaralı güvenlik açığını belirtir."
Güvenlik Zafiyetleri,CVSS (Common Vulnerability Scoring System) skoru hangi aralıktadır?,Güvenlik açığının önem düzeyine göre 0 (en az tehlikeli) ile 10 (en çok tehlikeli) arasında değişir.,CVSS skoru 0.0 ile 10.0 arasında bir değere sahiptir.
Güvenlik Zafiyetleri,CVSS puanlamasında 'Erişim Vektörü: Ağ (Network)' ne anlama gelir?,Saldırının internet gibi uzak bir ağ üzerinden yapılabildiğini belirtir ve bu durum zafiyet puanını yükseltir.,"CVSS puanlamasında 'Erişim Vektörü: Ağ (Network)', bir zafiyetin istismar edilebilmesi için saldırganın hedef sisteme ağ üzerinden, yani uzaktan erişim sağlaması gerektiğini belirtir. Bu, saldırının internet veya yerel ağ gibi bir ağ bağlantısı üzerinden gerçekleştirilebileceği anlamına gelir."
Güvenlik Yazılımları,Antivirüs yazılımları virüsleri nasıl tespit eder?,Genellikle bilinen zararlı yazılımların karakteristik özelliklerini barındıran imza veritabanlarını kullanarak tespit eder.,"Antivirüs yazılımları virüsleri genellikle imza tabanlı tespit ve davranış analizi yöntemleriyle tespit eder; imza tabanlı tespit, bilinen zararlı yazılımların dijital imzalarını veri tabanında ararken, davranış analizi ise yazılımın şüpheli aktivitelerini izleyerek anormallikleri belirler."
Güvenlik Yazılımları,Konak tabanlı güvenlik duvarı ne işe yarar?,Bilgisayara giren ve çıkan ağ trafiğini belirli kurallara göre filtreleyerek sistemi korur.,"Konak tabanlı güvenlik duvarı, bir cihaz veya sunucu üzerinde çalışan ve gelen-giden ağ trafiğini kontrol ederek yetkisiz erişimleri engelleyen bir yazılımdır. Bu tür güvenlik duvarları, belirli bir ana bilgisayarın güvenliğini artırmak için yerel olarak yapılandırılır ve genellikle işletim sistemi seviyesinde çalışır."
Güvenlik Yazılımları,Ağ Kabul Kontrolü (NAC) sisteminin amacı nedir?,Yalnızca belirli güvenlik kriterlerini (güncel işletim sistemi vb.) sağlayan yetkili cihazların ağa bağlanmasına izin vermektir.,"Ağ Kabul Kontrolü (NAC) sistemi, ağa bağlanmak isteyen cihazların güvenlik politikalarına uygunluğunu denetleyerek yalnızca yetkili ve güvenli cihazların ağa erişimini sağlar. Bu, ağ güvenliğini artırarak yetkisiz erişimleri ve potansiyel tehditleri önler."
SOC,Güvenlik Operasyonları Merkezi (SOC) nedir?,"Bir kurumun güvenlik durumunu sürekli izleyen, tehditleri analiz eden ve olaylara müdahale eden merkezi birimdir.","Güvenlik Operasyonları Merkezi (SOC), bir organizasyonun bilgi sistemlerini sürekli izleyen, analiz eden ve güvenlik tehditlerine karşı yanıt veren birimdir. SOC, siber tehditleri tespit etmek, analiz etmek ve bunlara müdahale etmek için insan, süreç ve teknolojiyi bir araya getirir."
SOC,SOC fonksiyonlarından 'Sürekli Proaktif İzleme' neden gereklidir?,"Saldırının ne zaman geleceği bilinmediği için, anormallikleri tespit etmek amacıyla sistemlerin 7/24 izlenmesi gerekir.","Sürekli proaktif izleme, tehditlerin erken tespit edilmesini ve hızlı müdahale edilmesini sağlayarak sistemlerin güvenliğini artırır ve potansiyel zararları minimize eder. Ayrıca, anormal etkinliklerin ve güvenlik ihlallerinin zamanında belirlenmesine olanak tanır, böylece saldırıların etkisi azaltılır."
SOC,SOC kapsamında 'Olay Müdahale'nin ilk adımı nedir?,Saldırının yayılmasını önlemek amacıyla etkilenen sistemin izole edilmesidir.,"Olay Müdahale'nin ilk adımı ""Olay Tanımlama""dır; bu adımda güvenlik olayının varlığı, kapsamı ve potansiyel etkisi belirlenir."
Olay Müdahale,NIST Olay Müdahale Yaşam Döngüsü'nün aşamaları nelerdir?,"Hazırlık, Tespit ve Analiz, Sınırlama/Yok Etme/Kurtarma ve Olay Sonrası Etkinlikler.","NIST Olay Müdahale Yaşam Döngüsü'nün aşamaları: Hazırlık, Tespit ve Analiz, Müdahale ve Kurtarma, ve Sonuçların Gözden Geçirilmesi ve İyileştirme'dir."
Olay Müdahale,Olay sonrası etkinlikler aşamasında ne yapılır?,Olayın nasıl ele alındığı belgelenir ve benzer olayların tekrar yaşanmaması için iyileştirmeler planlanır.,"Olay sonrası etkinlikler aşamasında, olayın analizi yapılır, zayıflıklar belirlenir ve gelecekte benzer olayların önlenmesi için iyileştirme önerileri geliştirilir. Ayrıca, olaydan elde edilen bulgularla güvenlik politikaları ve prosedürleri güncellenir."
İnternet Güvenliği,ARPANET nedir?,1969 yılında Amerikan ordusu tarafından kurulan ve internetin atası kabul edilen ağdır.,"ARPANET, ABD Savunma Bakanlığı'nın İleri Araştırma Projeleri Ajansı (ARPA) tarafından geliştirilen ve paket anahtarlamalı ağ teknolojisini kullanarak bilgisayarlar arasında veri iletişimini sağlayan ilk geniş alan ağıdır. İnternetin öncüsü olarak kabul edilir ve 1969 yılında faaliyete geçmiştir."
İnternet Güvenliği,SSL sertifikası olan bir site nasıl anlaşılır?,Tarayıcı adres çubuğunda 'https' protokolünün ve kilit simgesinin bulunmasıyla anlaşılır.,"Bir sitenin SSL sertifikası olup olmadığını anlamak için tarayıcı adres çubuğunda ""https://"" protokolünü ve genellikle bir kilit simgesini kontrol et. Ayrıca, sertifika detaylarını görmek için kilit simgesine tıklayarak sertifika bilgilerini inceleyebilirsin."
Sosyal Mühendislik,Sosyal mühendislik saldırılarının temel hedefi nedir?,"İnsanların zafiyetlerini kullanarak (korku, yardım isteği vb.) yetkisiz erişim veya bilgi elde etmektir.","Sosyal mühendislik saldırılarının temel hedefi, insanları manipüle ederek gizli bilgileri elde etmek veya hedef sistemlere yetkisiz erişim sağlamaktır. Bu saldırılar, genellikle kullanıcıların güvenini kazanarak onları aldatmayı amaçlar."
Parola Kırma,Tuzlama (Salting) işlemi neye karşı koruma sağlar?,Aynı parolayı kullanan kullanıcıların hash değerlerinin aynı olmasını engelleyerek Rainbow Table saldırılarına karşı koruma sağlar.,"Tuzlama (salting) işlemi, parolaların hash değerlerine karşı yapılan sözlük saldırıları ve önceden hesaplanmış rainbow tabloları kullanılarak yapılan saldırılara karşı koruma sağlar. Her kullanıcı parolasına benzersiz bir tuz ekleyerek, aynı parolaların farklı hash değerlerine sahip olmasını sağlar."
Güvenlik Politikaları,Yerel Güvenlik İlkesi (Local Security Policy) ne işe yarar?,"Bağımsız bilgisayarlarda parola karmaşıklığı, hesap kilitleme gibi güvenlik ayarlarını yapılandırmak için kullanılır.","Yerel Güvenlik İlkesi (Local Security Policy), bir Windows işletim sisteminde kullanıcı hesapları, parola politikaları, denetim ayarları ve diğer güvenlik ayarlarını yapılandırmak ve yönetmek için kullanılan bir yönetim aracıdır. Bu araç, sistemin güvenlik duruşunu yerel düzeyde özelleştirerek güvenlik gereksinimlerini karşılamaya yardımcı olur."
Yazılım Güvenliği,Sıfırıncı Gün (Zero-Day) saldırısı nedir?,Henüz üretici tarafından bilinmeyen veya yaması yayınlanmamış güvenlik açıklarına yapılan saldırıdır.,"Sıfırıncı Gün (Zero-Day) saldırısı, yazılımda henüz geliştirici veya kullanıcılar tarafından keşfedilmemiş bir güvenlik açığının kötü niyetli kişiler tarafından istismar edilmesidir. Bu tür saldırılar, açığın keşfedildiği ve yamalandığı süre zarfında gerçekleşir ve bu nedenle savunmasız sistemler için büyük bir tehdit oluşturur."
Veri Güvenliği,Önemli dosyaların güvenliği için ne yapılmalıdır?,Dosyalar şifrelenmeli ve düzenli olarak yedeklenmelidir.,"Önemli dosyaların güvenliği için güçlü şifreleme algoritmaları kullanarak dosyaları şifrelemek ve erişim kontrol mekanizmaları ile yetkisiz erişimi engellemek gereklidir. Ayrıca, düzenli yedekleme ve güncel güvenlik yazılımları ile sistemin korunması sağlanmalıdır."
Parola Güvenliği,Neden aynı parola farklı sitelerde kullanılmamalıdır?,"Bir sitedeki parola çalındığında, saldırganların diğer hesaplara da erişmesini engellemek için.","Aynı parola farklı sitelerde kullanıldığında, bir siteye yapılan veri ihlali sonucunda ele geçirilen parolalar, diğer hesaplara da erişim sağlamak için kullanılabilir, bu da zincirleme güvenlik ihlallerine yol açabilir. Bu tür saldırılara ""credential stuffing"" denir ve kullanıcıların birden fazla hesabını tehlikeye atabilir."
Biyometrik Güvenlik,Ses tanıma sistemleri neyi analiz eder?,Konuşmacının ağız ve boğaz yapısının oluşturduğu benzersiz ses özelliklerini analiz eder.,"Ses tanıma sistemleri, ses dalgalarını analiz ederek konuşma dilini metne dönüştürmek için akustik ve dil modellerini kullanır. Bu süreçte, sesin frekans, genlik ve süre gibi özellikleri incelenir."
İnternet Tarihçesi,İnternetin ilk ortaya çıkış amacı nedir?,"İnternet, birçok teknoloji gibi ilk olarak askeri amaçlı bir gereksinim olarak ortaya çıkmıştır.","İnternetin ilk ortaya çıkış amacı, ABD Savunma Bakanlığı tarafından finanse edilen ARPANET projesi kapsamında, askeri ve akademik araştırma kurumları arasında güvenilir ve hızlı bir iletişim ağı oluşturmaktır. Bu ağ, özellikle nükleer saldırı durumunda iletişimin kesintisiz devam etmesini sağlamak için tasarlanmıştır."
İnternet Tarihçesi,İnternetin başlangıç noktası olarak kabul edilen proje hangisidir?,"Amerikan İleri Araştırma Projeleri Birimi (ARPA) tarafından 1969 yılında oluşturulan ARPANET, internetin başlangıç noktası kabul edilir.","İnternetin başlangıç noktası olarak kabul edilen proje ARPANET'tir. ARPANET, ABD Savunma Bakanlığı tarafından finanse edilen ve 1969 yılında hayata geçirilen bir ağ projesidir."
İnternet Tarihçesi,'World Wide Web' (www) kim tarafından ve nerede geliştirilmiştir?,1989 yılında Avrupa CERN'de Tim Berners-Lee tarafından geliştirilmiştir.,"World Wide Web, Tim Berners-Lee tarafından 1989 yılında CERN'de, İsviçre'de geliştirilmiştir."
İnternet Tarihçesi,TCP/IP protokolünün internetin gelişimindeki rolü nedir?,"1970'lerin ortasında oluşturulan bu protokol, internet ağının üniversitelerden hükümet birimlerine kadar hızla genişlemesinin önünü açmıştır.","TCP/IP protokolü, internetin temel iletişim altyapısını oluşturarak farklı ağlar arasında veri paketlerinin güvenilir ve düzenli bir şekilde iletilmesini sağlar. Bu protokol seti, ağlar arası iletişimi standartlaştırarak internetin ölçeklenebilirliğini ve evrensel erişilebilirliğini mümkün kılmıştır."
İnternet Güvenliği,Bir web sitesinin güvenli olduğu tarayıcıda nasıl anlaşılır?,"Adres çubuğunda 'https' etiketinin olması ve kilit sembolünün bulunması, sitenin SSL güvenlik sertifikasına sahip ve güvenli olduğunu gösterir.","Bir web sitesinin güvenli olduğunu tarayıcıda anlamak için adres çubuğunda ""https://"" protokolünün kullanıldığını ve genellikle bir kilit simgesinin bulunduğunu kontrol et. Bu, sitenin SSL/TLS sertifikası ile şifrelenmiş olduğunu gösterir."
İnternet Güvenliği,SSL sertifikasının işlevi nedir?,Web sitesinin güvenli olduğunu ve şifreli iletişim sağladığını ifade eden bir güvenlik sertifikasıdır.,"SSL sertifikası, internet üzerindeki veri iletimini şifreleyerek güvenli hale getirir ve sunucunun kimliğini doğrulayarak kullanıcıların doğru bir sunucu ile iletişim kurduğunu garanti eder."
İnternet Tehditleri,İnternet ortamındaki tehlikeler genel olarak hangi üç başlıkta sınıflandırılır?,"Yanlış ve güvenli olmayan içerikler, insan yaşamını olumsuz etkileyen kullanım alışkanlıkları ve internet istismarı/siber saldırılar olarak sınıflandırılır.","İnternet ortamındaki tehlikeler genel olarak zararlı yazılımlar (malware), kimlik avı (phishing) ve hizmet reddi saldırıları (DoS/DDoS) başlıkları altında sınıflandırılır."
İnternet Tehditleri,Siberay programının temel amacı nedir?,"Siber Suçlarla Mücadele Daire Başkanlığı tarafından oluşturulan bu program, vatandaşlara güvenli internet kullanımı konusunda yol göstermeyi amaçlar.","Siberay programının temel amacı, toplumda siber güvenlik farkındalığını artırmak ve bireyleri siber tehditlere karşı bilinçlendirmektir. Ayrıca, siber suçlarla mücadele etmek ve güvenli internet kullanımı konusunda eğitimler vermek de programın hedefleri arasındadır."
Veri Güvenliği,İnternet ortamında 'Veri Çalınması' nasıl gerçekleşir?,"Güvenlik zafiyetleri, zararlı yazılımlar, sosyal mühendislik saldırıları veya oltalama yöntemleri kullanılarak kişisel ve finansal bilgilerin ele geçirilmesidir.","Veri çalınması, genellikle kötü amaçlı yazılımlar, kimlik avı saldırıları veya güvenlik açıklarından yararlanarak yetkisiz erişim sağlanması yoluyla gerçekleşir. Saldırganlar, bu yöntemlerle hedef sistemlerden hassas bilgileri ele geçirir ve genellikle bu bilgileri satmak veya başka saldırılarda kullanmak için kullanırlar."
